id,playerName,x,y,end_x,end_y,xT_gain
2816647131,R. Huescas,64.1,8.2,15.1,1.25,-0.005
2816647147,V. Froholdt,63.4,24.5,15.3,5.37,-0.008
2816647181,R. Huescas,72.3,6.7,12.3,2.0,-0.008
2816647195,V. Froholdt,63.3,9.5,10.8,2.86,-0.005
2816647267,Gabriel Pereira,53.4,13.9,36.8,2.43,-0.003
2816647349,D. Ramaj,27.0,49.4,18.2,5.4,-0.004
2816647395,Gabriel Pereira,55.2,25.7,17.7,2.14,-0.005
2816647431,P. Hatzidiakos,46.1,47.6,18.6,0.61,-0.005
2816647459,M. Elyounoussi,55.0,56.8,10.3,3.47,-0.006
2816647495,L. Lerager,46.6,54.5,16.8,3.19,-0.005
2816647519,P. Hatzidiakos,30.6,53.3,67.1,5.82,0.0
2816647551,J. Larsson,88.3,8.9,18.0,2.39,-0.011
2816647583,V. Froholdt,79.1,29.9,4.1,1.57,-0.025
2816647655,M. López,62.4,84.2,16.0,0.2,-0.006
2816647659,E. Achouri,81.1,88.8,13.8,4.98,-0.01
2816647685,M. Elyounoussi,84.6,69.2,12.2,2.59,-0.03
2816647741,N. Campbell,26.8,51.2,5.7,5.47,-0.005
2816647825,R. Huescas,58.8,25.9,14.9,5.29,-0.0069999999999999
2816647845,J. Larsson,69.1,4.9,37.6,0.45,-0.004
2816648019,W. Dammers,4.9,60.9,5.9,4.53,-0.005
2816648045,P. Izzo,4.7,51.6,17.2,4.9,-0.008
2816648065,D. Høegh,7.9,24.3,37.1,6.2,0.0
2816648167,S. Nordli,38.5,36.4,1.5,0.77,-0.005
2816648369,J. Björkengren,46.2,46.2,6.2,2.58,-0.006
2816648437,D. Høegh,45.0,52.1,18.4,2.01,-0.005
2816648497,W. Dammers,38.8,72.7,21.1,3.95,-0.003
2816648507,P. Izzo,23.7,50.6,13.0,1.21,-0.004
2816648579,W. Dammers,28.1,68.4,11.8,0.0,-0.003
2816648697,J. Björkengren,43.7,76.6,28.2,0.39,-0.003
2816648709,S. Nordli,63.0,71.1,8.4,3.12,-0.009
2816648733,W. Dammers,55.1,71.4,11.3,4.52,-0.005
2816648743,M. Greve,53.2,51.6,9.5,4.9,-0.007
2816648749,D. Høegh,54.9,37.9,22.0,0.74,-0.006
2816648915,V. Froholdt,35.8,45.7,33.5,5.52,-0.004
2816649095,A. Rømer,25.1,53.7,70.2,5.89,0.001
2816649111,N. Campbell,86.6,23.3,10.4,2.17,-0.022
2816649191,L. Lerager,36.0,80.0,22.0,0.3,-0.002
2816649233,E. Achouri,55.8,90.2,15.6,3.57,-0.003
2816649267,L. Lerager,54.7,76.4,6.1,4.56,-0.006
2816649359,M. Elyounoussi,53.8,67.5,33.9,4.95,-0.005
2816649399,R. Huescas,65.4,21.5,7.3,1.56,-0.008
2816649439,J. Larsson,70.5,28.1,28.7,0.07,-0.008
2816649443,R. Huescas,97.8,31.1,12.8,1.96,-0.0419999999999999
2816649583,V. Froholdt,90.6,13.6,20.8,3.04,-0.018
2816649595,J. Larsson,70.9,16.6,12.4,2.65,-0.008
2816649607,Gabriel Pereira,60.3,27.8,25.4,1.52,-0.0059999999999999
2816649631,P. Hatzidiakos,61.5,65.1,11.6,5.58,-0.0069999999999999
2816649641,L. Lerager,70.0,52.4,20.3,2.97,-0.013
2816649667,P. Hatzidiakos,51.0,57.6,20.9,5.03,-0.005
2816649711,Gabriel Pereira,57.2,28.4,23.9,5.62,-0.0059999999999999
2816649747,V. Froholdt,76.7,4.6,13.8,3.24,-0.008
2816649755,J. Larsson,63.5,2.6,17.3,0.67,-0.005
2816649815,J. Björkengren,20.5,74.6,13.4,6.19,-0.002
2816649827,S. Odey,48.3,60.7,11.9,5.15,-0.005
2816649849,M. Greve,55.2,44.6,13.1,0.39,-0.006
2816864453,Gabriel Pereira,4.2,40.3,11.0,1.63,-0.003
2816650051,D. Ramaj,9.0,60.7,38.0,6.19,-0.002
2816650085,A. Cornelius,37.2,54.6,18.2,4.76,-0.005
2816650165,J. Larsson,43.3,27.8,15.5,4.87,-0.004
2816650175,R. Huescas,73.6,23.3,11.8,3.43,-0.012
2816650179,V. Froholdt,62.8,18.4,11.8,1.94,-0.0069999999999999
2816650231,L. Lerager,59.7,36.8,13.7,0.89,-0.0069999999999999
2816650283,M. Elyounoussi,68.2,48.5,17.9,4.54,-0.013
2816650315,V. Froholdt,62.3,20.6,13.7,0.51,-0.0069999999999999
2816650361,J. Larsson,70.6,31.6,16.9,3.09,-0.011
2816650429,Gabriel Pereira,54.5,32.8,15.8,1.71,-0.006
2816650489,P. Hatzidiakos,52.6,57.0,14.9,4.98,-0.006
2816650543,Gabriel Pereira,60.2,29.5,33.7,0.75,-0.0059999999999999
2816650683,M. Greve,36.0,41.3,13.8,1.69,-0.005
2816650757,J. Björkengren,35.8,62.6,4.8,3.76,-0.004
2816650805,W. Dammers,31.3,61.5,29.0,0.93,-0.002
2816650867,N. Dyhr,52.8,94.1,20.8,3.96,-0.003
2816650895,W. Dammers,45.1,66.6,11.9,4.53,-0.004
2816650943,D. Høegh,43.0,52.1,12.4,6.15,-0.005
2816650959,J. Björkengren,54.7,49.4,8.9,2.97,-0.007
2816651001,D. Høegh,46.3,51.6,16.8,1.26,-0.005
2816651027,W. Dammers,53.3,73.9,18.5,0.95,-0.005
2816651097,N. Dyhr,63.5,96.0,22.6,6.19,-0.005
2816651129,S. Nordli,76.5,90.2,33.6,5.15,-0.008
2816651287,J. Björkengren,61.7,83.3,14.8,4.01,-0.004
2816651311,W. Dammers,47.2,66.3,24.1,4.77,-0.003
2816651361,D. Høegh,48.5,30.7,11.3,1.9,-0.005
2816651399,A. Rømer,45.9,53.9,13.7,1.72,-0.005
